"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","18,145,746","100"
"2","apple.com","4,498,802","100"
"3","www.google.com","12,215,118","100"
"4","www.blogger.com","25,780,637","99"
"5","microsoft.com","4,540,653","99"
"6","play.google.com","2,382,071","99"
"7","support.google.com","4,599,027","99"
"8","linkedin.com","9,208,274","99"
"9","maps.google.com","4,354,396","98"
"10","youtu.be","3,889,805","98"
"11","wordpress.org","10,165,316","98"
"12","docs.google.com","2,278,923","98"
"13","en.wikipedia.org","5,374,731","98"
"14","cloudflare.com","5,241,273","98"
"15","mozilla.org","1,893,872","98"
"16","vimeo.com","3,053,679","97"
"17","drive.google.com","1,797,712","97"
"18","plus.google.com","11,665,515","97"
"19","europa.eu","1,652,660","97"
"20","adobe.com","2,753,913","97"
"21","accounts.google.com","2,530,505","97"
"22","sites.google.com","1,746,171","97"
"23","googleusercontent.com","2,188,269","97"
"24","es.wikipedia.org","771,001","96"
"25","uol.com.br","562,885","96"
"26","line.me","643,492","96"
"27","bbc.co.uk","1,391,607","96"
"28","amazon.com","3,993,837","96"
"29","istockphoto.com","3,140,594","96"
"30","bp.blogspot.com","16,121,060","96"
"31","github.com","2,035,718","96"
"32","facebook.com","46,388,035","96"
"33","vk.com","1,627,924","96"
"34","cnn.com","1,197,107","96"
"35","www.yahoo.com","978,347","95"
"36","bbc.com","651,065","95"
"37","gstatic.com","582,199","95"
"38","paypal.com","894,722","95"
"39","myspace.com","1,244,308","95"
"40","feedburner.com","1,694,756","95"
"41","nih.gov","1,033,654","95"
"42","t.me","610,825","95"
"43","whatsapp.com","2,072,209","95"
"44","washingtonpost.com","855,307","95"
"45","google.de","1,059,531","95"
"46","mail.google.com","437,260","95"
"47","mail.ru","476,970","95"
"48","imdb.com","1,213,080","95"
"49","dropbox.com","916,430","95"
"50","w3.org","1,040,186","95"
"51","reuters.com","713,385","95"
"52","nytimes.com","1,661,154","95"
"53","globo.com","377,258","95"
"54","developers.google.com","880,097","95"
"55","jimdofree.com","1,693,399","95"
"56","wikimedia.org","1,363,330","95"
"57","bloomberg.com","667,917","95"
"58","hugedomains.com","4,886,664","95"
"59","slideshare.net","869,497","95"
"60","issuu.com","836,868","95"
"61","google.es","418,591","95"
"62","get.google.com","755,231","95"
"63","live.com","726,467","95"
"64","creativecommons.org","1,569,349","95"
"65","dailymotion.com","1,056,420","95"
"66","msn.com","966,810","95"
"67","opera.com","730,879","95"
"68","medium.com","1,131,738","95"
"69","policies.google.com","1,115,581","95"
"70","theguardian.com","1,178,870","95"
"71","forbes.com","1,119,678","95"
"72","google.co.jp","625,893","95"
"73","google.com.br","268,118","95"
"74","fr.wikipedia.org","525,334","95"
"75","news.google.com","691,535","95"
"76","pt.wikipedia.org","354,125","95"
"77","elpais.com","320,193","94"
"78","tools.google.com","1,436,695","94"
"79","translate.google.com","269,204","94"
"80","buydomains.com","1,112,411","94"
"81","aboutads.info","470,577","94"
"82","huffpost.com","536,196","94"
"83","telegram.me","273,064","94"
"84","google.fr","384,109","94"
"85","latimes.com","566,350","94"
"86","rt.com","226,232","94"
"87","time.com","600,302","94"
"88","it.wikipedia.org","277,035","94"
"89","samsung.com","296,852","94"
"90","namecheap.com","1,088,808","94"
"91","dan.com","1,870,007","94"
"92","cpanel.net","1,280,173","94"
"93","plesk.com","702,315","94"
"94","wsj.com","786,205","94"
"95","office.com","347,305","94"
"96","nasa.gov","542,854","94"
"97","harvard.edu","575,242","94"
"98","news.yahoo.com","569,202","94"
"99","google.pl","201,115","94"
"100","www.wikipedia.org","509,442","94"
"101","independent.co.uk","507,756","94"
"102","huffingtonpost.com","854,464","94"
"103","draft.blogger.com","10,239,794","94"
"104","ebay.com","863,941","94"
"105","goo.gl","4,157,446","94"
"106","scribd.com","646,032","94"
"107","usatoday.com","630,412","94"
"108","abcnews.go.com","463,700","94"
"109","cdc.gov","642,376","94"
"110","indiatimes.com","327,995","94"
"111","themeforest.net","500,445","94"
"112","ipv4.google.com","352,367","94"
"113","ft.com","345,142","94"
"114","archive.org","881,677","94"
"115","android.com","255,031","94"
"116","cpanel.com","1,196,017","94"
"117","change.org","396,493","94"
"118","lefigaro.fr","184,208","94"
"119","twitter.com","48,634,361","94"
"120","www.gov.uk","479,726","94"
"121","techcrunch.com","381,938","94"
"122","webmd.com","542,797","94"
"123","un.org","419,863","94"
"124","picasaweb.google.com","605,825","94"
"125","rakuten.co.jp","576,519","94"
"126","bit.ly","4,068,919","94"
"127","youronlinechoices.com","495,513","94"
"128","mirror.co.uk","255,346","94"
"129","ig.com.br","129,482","94"
"130","books.google.com","338,601","94"
"131","wikia.com","451,997","94"
"132","google.co.uk","536,728","94"
"133","marketingplatform.google.com","735,893","94"
"134","businessinsider.com","563,804","94"
"135","ok.ru","332,563","94"
"136","amazon.co.jp","767,105","94"
"137","gravatar.com","1,611,573","94"
"138","4shared.com","505,540","94"
"139","amazon.co.uk","622,516","94"
"140","thesun.co.uk","250,280","94"
"141","cnet.com","545,612","94"
"142","myaccount.google.com","258,030","94"
"143","booking.com","347,735","94"
"144","foxnews.com","445,764","94"
"145","amazon.de","486,375","94"
"146","wired.com","524,133","94"
"147","abril.com.br","221,360","94"
"148","terra.com.br","183,645","94"
"149","google.it","407,450","94"
"150","afternic.com","1,778,308","94"
"151","mediafire.com","760,010","94"
"152","fandom.com","428,681","94"
"153","aol.com","645,963","94"
"154","hatena.ne.jp","1,348,356","94"
"155","id.wikipedia.org","411,267","94"
"156","google.ru","183,411","94"
"157","de.wikipedia.org","579,693","94"
"158","steampowered.com","215,684","94"
"159","who.int","1,943,258","94"
"160","photos.google.com","239,078","94"
"161","fb.com","361,269","94"
"162","aliexpress.com","440,402","94"
"163","files.wordpress.com","1,978,796","94"
"164","networkadvertising.org","686,022","94"
"165","pinterest.com","7,368,794","94"
"166","tinyurl.com","1,244,870","94"
"167","search.google.com","1,045,559","94"
"168","telegraph.co.uk","756,027","94"
"169","dailymail.co.uk","764,225","94"
"170","yandex.ru","935,797","93"
"171","dw.com","218,642","93"
"172","ox.ac.uk","214,856","93"
"173","academia.edu","282,639","93"
"174","google.co.id","146,970","93"
"175","detik.com","351,372","93"
"176","sciencedirect.com","418,746","93"
"177","naver.com","438,624","93"
"178","gmail.com","177,942","93"
"179","express.co.uk","198,966","93"
"180","ja.wikipedia.org","321,342","93"
"181","ikea.com","258,304","93"
"182","npr.org","587,531","93"
"183","ovh.com","440,363","93"
"184","vice.com","300,054","93"
"185","yahoo.co.jp","609,797","93"
"186","enable-javascript.com","1,549,717","93"
"187","britannica.com","266,673","93"
"188","thetimes.co.uk","293,482","93"
"189","lemonde.fr","221,096","93"
"190","google.ca","297,926","93"
"191","kickstarter.com","396,516","93"
"192","surveymonkey.com","380,349","93"
"193","buzzfeed.com","438,554","93"
"194","sapo.pt","203,190","93"
"195","rapidshare.com","278,128","93"
"196","ea.com","152,197","93"
"197","imageshack.us","779,444","93"
"198","cambridge.org","219,937","93"
"199","www.wix.com","793,870","93"
"200","corriere.it","139,170","93"
"201","playstation.com","178,267","93"
"202","engadget.com","391,527","93"
"203","cbsnews.com","419,378","93"
"204","allaboutcookies.org","330,928","93"
"205","groups.google.com","296,300","93"
"206","nokia.com","153,829","93"
"207","columbia.edu","267,992","93"
"208","doubleclick.net","642,699","93"
"209","vox.com","381,016","93"
"210","photos1.blogger.com","821,318","93"
"211","secureserver.net","1,022,828","93"
